code,name,latitude,longitude
10,Métro Angrignon (Lamont /  des Trinitaires),45.44691,-73.60363
13,Métro de l'Église (Ross / de l'Église),45.462726,-73.565959
17,Tolhurst / Fleury,45.544149,-73.66752
21,St-Christophe / Cherrier,45.52029,-73.568119
31,Lespérance / de Rouen,45.538839,-73.552779
36,St-Cuthbert / St-Urbain,45.514773,-73.578312
38,Métro Vendôme (de Marlowe / de Maisonneuve),45.473868,-73.604538
43,Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),45.50367,-73.61848
47,Métro Guy-Concordia (Guy / St-Catherine),45.495045,-73.57783
60,Durocher / Van Horne,45.524394,-73.611423
65,Bel Air / St-Antoine,45.482778,-73.584621
75,St-Joseph / 8e avenue Lachine,45.43155,-73.67112
76,St-Joseph / 34e avenue Lachine,45.433251,-73.693962
78,8e avenue / Notre-Dame Lachine,45.434898,-73.670819
79,Victoria / 18e avenue Lachine,45.435996,-73.680111
86,Parc Pratt (Dunlop / Van Horne),45.515007,-73.619788
92,Métro Rosemont (de St-Vallier / Rosemont),45.531783,-73.597793
99,7e avenue / St-Joseph Rosemont,45.547108,-73.569367
100,16e avenue / St-Joseph,45.55287,-73.565631
111,Hutchison / Sherbrooke,45.507717,-73.57167
120,Drolet / Faillon,45.539316,-73.620661
122,Lajeunesse / Jarry,45.543771,-73.628509
125,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),45.559872,-73.615541
126,Rousselot / Jarry,45.550899,-73.62108
135,St-Alexandre / Ste-Catherine,45.505359,-73.567741
137,Jeanne-d'Arc / Ontario,45.549598,-73.541874
138,de la Salle / Ste-Catherine,45.549963,-73.534434
139,d'Orléans / Hochelaga,45.550768,-73.549427
140,Bennett / Ste-Catherine,45.553053,-73.532427
141,Marché Maisonneuve,45.553219,-73.539782
142,Ontario / Sicard,45.556262,-73.537441
143,de Ville-Marie / Ste-Catherine,45.557921,-73.529147
144,Ontario / Viau,45.559482,-73.535496
145,Gauthier / Papineau,45.529666,-73.567336
146,Gauthier / de Lorimier,45.531674,-73.565413
147,Gauthier / Parthenais,45.532926,-73.56378
148,de Bordeaux / Marie-Anne,45.533409,-73.570657
149,des Érables / Rachel,45.533547,-73.566867
150,Fullum / Sherbrooke,45.533924,-73.562425
151,Chapleau / Terrasse Mercure,45.536738,-73.565167
152,Bercy / Rachel,45.538403,-73.561964
153,Ste-Catherine / Dezery,45.539385,-73.541
154,Dézéry / Ontario,45.54111,-73.54755
155,Métro Préfontaine (Moreau / Hochelaga),45.54178,-73.555714
156,Valois / Ste-Catherine,45.54523,-73.53725
157,St-Germain / Hochelaga,45.543699,-73.553673
158,Aylwin / Ontario,45.544284,-73.54534
159,Métro Joliette  (Joliette / Hochelaga),45.546907,-73.551557
160,Valois / Ontario,45.547405,-73.544674
161,Nicolet / Sherbrooke,45.549695,-73.554647
162,Métro Assomption (Chauveau / de l'Assomption),45.569789,-73.548081
164,Métro Cadillac (de Cadillac / Sherbrooke),45.576963,-73.546836
165,Pierre-de-Coubertin / Langelier,45.580315,-73.535314
166,Métro Langelier (Langelier / Sherbrooke),45.582847,-73.542476
167,Boyer / du Mont-Royal,45.527432,-73.579917
168,Calixa-Lavallée / Rachel,45.527795,-73.571939
169,de Brébeuf / du Mont-Royal,45.529408,-73.578154
170,de Lanaudière / Marie-Anne,45.529326,-73.574806
171,Marquette / Rachel,45.529802,-73.57029
172,Garnier / du Mont-Royal,45.53092,-73.57674
173,Marquette / du Mont-Royal,45.53229,-73.57544
174,Cartier / Marie-Anne,45.532674,-73.571776
175,Chabot / du Mont-Royal,45.534185,-73.573589
176,Cartier / St-Joseph,45.535828,-73.57869
177,de Bordeaux / Gilford,45.53611,-73.576287
179,Messier / du Mont-Royal,45.537114,-73.571003
180,Laurier / de Bordeaux,45.537205,-73.579254
181,Cartier / Masson,45.538021,-73.583524
182,Chapleau / du Mont-Royal,45.53867,-73.56936
183,de Bordeaux / Masson,45.538984,-73.582445
184,Fullum / Gilford,45.539224,-73.573837
185,Parc des Rapides (LaSalle / 6e avenue),45.429471,-73.593099
186,LaSalle / Crawford,45.437914,-73.58274
187,Natatorium (LaSalle / Rolland),45.444547,-73.575091
188,Bibliothèque de Verdun (Brown / Bannantyne),45.448262,-73.577856
189,Beatty / de Verdun,45.45073,-73.572575
190,Métro Monk (Allard / Beaulieu),45.450851,-73.594027
191,Argyle / Bannantyne,45.453319,-73.576775
192,Argyle / de Verdun,45.453016,-73.571915
193,Hamilton / Jolicoeur,45.456355,-73.597557
194,5e avenue / Bannantyne,45.456365,-73.57614
196,4e avenue / de Verdun,45.456885,-73.572607
197,Dubois / Eadie,45.457597,-73.590529
198,2e avenue / Wellington,45.457893,-73.567528
199,Métro Verdun (Willibrord / de Verdun),45.459488,-73.572092
200,Gordon / Wellington,45.461078,-73.567307
201,Parc St-Paul (Le Caron / Marc-Sauvalle),45.461685,-73.584039
202,St-Patrick / Briand,45.463397,-73.596436
203,de l'Église / de Verdun,45.463001,-73.571569
204,de l'Église / Bannantyne,45.463254,-73.575879
205,Regina / de Verdun,45.467369,-73.570769
206,Métro Lasalle (de Rushbrooke / Caisse),45.470696,-73.565422
207,Métro Laurier (Rivard / Laurier),45.527616,-73.589115
208,St-Hubert / Laurier,45.52931,-73.588657
209,Hélène-Baillargeon / St-Denis,45.52974,-73.59527
211,de Mentana / Laurier,45.53045,-73.587638
214,Laurier / de Brébeuf,45.532514,-73.584811
215,Garnier / St-Joseph,45.532978,-73.581222
216,de Lanaudière / Laurier,45.533314,-73.583737
217,Gerry-Boulet / St-Grégoire,45.533735,-73.589307
218,Marquette / Laurier,45.53543,-73.5822
221,Métro Crémazie (Crémazie / Lajeunesse),45.546408,-73.638428
222,Clark / Fleury,45.547581,-73.665234
223,Émile-Journault / de Chateaubriand,45.549833,-73.640633
224,Basile-Routhier / Chabanel,45.549868,-73.647657
225,Métro Sauvé (Berri / Sauvé),45.550692,-73.656367
226,Jacques-Casault / Christophe-Colomb,45.552123,-73.630103
227,Complexe sportif Claude-Robillard,45.553262,-73.638615
228,Fleury / Lajeunesse,45.553579,-73.662083
229,Métro Henri-Bourassa (Henri-Bourassa / Millen),45.556751,-73.667162
230,Chambord / Fleury,45.559828,-73.658325
231,Hamel / Sauvé,45.560762,-73.650561
232,Francis / Fleury,45.563872,-73.655568
233,Marquette / Fleury,45.567352,-73.653787
234,de l'Hôtel-de-Ville / Sherbrooke,45.514565,-73.568407
235,Square St-Louis (du Square St-Louis / Laval),45.516091,-73.570129
236,Parc Jeanne-Mance (du Mont-Royal / du Parc),45.517,-73.589
237,de l'Esplanade / du Mont-Royal,45.518253,-73.588338
238,Villeneuve / du Parc,45.51829,-73.59235
239,Roy / St-Denis,45.51908,-73.5727
240,Berri / Cherrier,45.519088,-73.569509
241,Laval / Duluth,45.519216,-73.57718
242,du Mont-Royal / Clark,45.51941,-73.58685
243,Laval / Rachel,45.520179,-73.579424
244,Villeneuve / St-Urbain,45.520188,-73.590559
245,St-André / Cherrier,45.520524,-73.567697
246,Duluth / St-Denis,45.520604,-73.575984
247,Roy / St-André,45.521564,-73.570367
248,de Bullion / du Mont-Royal,45.521751,-73.585268
249,Rivard / Rachel,45.522278,-73.577591
250,Laval / du Mont-Royal,45.522365,-73.584146
251,St-Hubert / Duluth,45.522426,-73.574184
252,Berri / Rachel,45.522719,-73.577204
253,Beaudry / Sherbrooke,45.523035,-73.565395
254,du Parc-La Fontaine / Roy,45.522866,-73.568377
255,Villeneuve / de l'Hôtel-de-Ville,45.523544,-73.587332
